wine_id,our_name,vivino_name,score,cross_score,rating,reviews,url,winery,grapes,region
6a5b910b-61fe-45d1-9dff-014146afb001,Rosebay Prickly Pear Leaf,d'Arenberg The Prickly Pear White Blend,0.50,0.50,3.7,66,https://www.vivino.com/en/d-arenberg-the-prickly-pear-white-blend/w/1209055,d'Arenberg,"Chenin Blanc, Viognier, Roussanne, Marsanne",Australia / South Australia / Fleurieu / McLaren Vale
6aba3e32-d10d-4c63-ba76-a979cda61558,Grgich Hills Estate Napa Valley Sauvignon Blanc,Grgich Hills Premiere Napa Valley Paradise Block Old Vine Cabernet Sauvignon,0.71,0.71,4.3,5359,https://www.vivino.com/en/grgich-hills-premiere-napa-valley-paradise-block-old-vine-cabernet-sauvignon/w/8332127,Grgich Hills,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley / Yountville
6ad799b3-22d2-437b-972b-4168ede38a8d,Matchbook Cabernet Sauvignon,Matchbook Red Gravel Cabernet Sauvignon,1.00,1.00,3.7,5986,https://www.vivino.com/en/us-matchbook-red-gravel-cabernet-sauvignon-dunnigan-hills/w/1152269,Matchbook,Cabernet Sauvignon,United States / California / Central Valley / Yolo County / Dunnigan Hills
6af01b9f-28ed-4a4c-bb46-32be470c4cab,Domaine du Prince Le Chêne du Prince Cahors Malbec,Domaine du Prince Le Chéne du Prince Cahors Malbec,1.00,1.00,4,555,https://www.vivino.com/en/prince-le-chene-du-prince-cahors-malbec/w/1320881,Domaine du Prince,Malbec,France / South West France / Haut-Pays / Cahors
6af89f19-c250-4de8-b0fc-b3e1c6212ad4,Paul Cheneau Blanc de Blancs Cava Brut Reserva,Paul Cheneau Cava Reserva Blanc de Blancs  Brut,1.00,1.00,3.6,410,https://www.vivino.com/en/paul-cheneau-cava-reserva-blanc-de-blancs-brut/w/1666880,Paul Cheneau,"Macabeo, Xarel-lo, Parellada",Spain / Cava
6b15f572-4d6a-43b7-8054-fe67ab94ff1a,Lulu Rosé,Lulu Le Francais Rosé,1.00,1.00,3.8,1186,https://www.vivino.com/en/lulu-le-francais-rose/w/7575514,Lulu Le Francais,Cinsault,France / Languedoc-Roussillon
6b28a20c-a0cc-4c00-bb97-00724f620ed2,Spellbound Cabernet Sauvignon,Spellbound Cabernet Sauvignon,1.00,1.00,3.7,3684,https://www.vivino.com/en/spellbound-wines-cabernet-sauvignon/w/1634496,Spellbound,Cabernet Sauvignon,United States / California
6b3303e3-e6dd-448f-a39e-2ae0a0d9af72,Irelanda Pinot Noir,Ireland Family Peake Ranch Vineyard Pinot Noir,0.67,0.67,4.4,57,https://www.vivino.com/en/ireland-family-peake-ranch-vineyard-pinot-noir/w/11274136,Ireland Family,Pinot Noir,United States / California / Central Coast / Santa Barbara County / Sta. Rita Hills
6b41e5ba-2a99-429d-8305-3c651508b65c,Grant Burge McLaren Vale Ink Shiraz,Grant Burge Wines Mclaren Vale Ink Shiraz,1.00,1.00,4,1103,https://www.vivino.com/en/grant-burge-wines-mclaren-vale-ink-shiraz/w/9621246,Grant Burge Wines,Shiraz/Syrah,Australia / South Australia / Fleurieu / McLaren Vale
6b5ee0e2-39b7-4ff1-a763-f5f91b7db256,Casa Beatrice con Terrazza,Casa Virginia Il Serpente Con la Cresta,0.50,0.50,4,260,https://www.vivino.com/en/casa-virginia-il-serpente-con-la-cresta/w/2058973,Casa Virginia,Shiraz/Syrah,Italy / Northern Italy / Lombardia / Bergamasca
6b90c678-dcee-4575-8c55-26483ed63143,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,Stag's Leap Wine Cellars ARTEMIS Cabernet Sauvignon,1.00,1.00,4.4,96855,https://www.vivino.com/en/stag-s-leap-wine-cellars-artemis-cabernet-sauvignon/w/1107336,Stag's Leap Wine Cellars,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley
6bd3254c-7835-4fc9-be42-128b5d1a7e71,Altavista Vive Malbec,Alta Vista Vive Malbec,0.67,0.67,3.7,4427,https://www.vivino.com/en/alta-vista-vive-malbec-mendoza-red-wine/w/5876379,Alta Vista,Malbec,Argentina / Mendoza
6bd4cdf0-0718-4685-a868-5bc2a069d3f9,Orin Swift Palermo & Caymus California Cabernet Sauvignon,Orin Swift Palermo Cabernet Sauvignon,0.71,0.71,4.3,34959,https://www.vivino.com/en/orin-swift-palermo-cabernet-sauvignon/w/1208567,Orin Swift,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley
6bec479d-ec66-4670-9104-63ed534bab7a,Montes Alpha Merlot,Montes Montes Alpha Merlot,1.00,1.00,3.8,11967,https://www.vivino.com/en/montes-montes-alpha-merlot/w/71324,Montes,Merlot,Chile / Central Valley / Rapel Valley / Colchagua Valley
6c1044bc-6638-4a7a-b694-f6ac44229f01,Noton Reserva Malbec,Bodega Norton Reserva Malbec,0.67,0.67,3.7,38390,https://www.vivino.com/en/bodega-norton-reserva-malbec/w/3215,Bodega Norton,Malbec,Argentina / Mendoza / Lujan de Cuyo
6c263d86-e2b7-4c65-8284-d778996dca57,Aux Pieds du Mont Choisy Bourgogne Pinot Noir,Au Pied du Mont Chauve Pinot Noir Bourgogne,0.57,0.57,3.9,602,https://www.vivino.com/en/au-pied-du-mont-chauve-pinot-noir-bourgogne/w/2825844,Au Pied du Mont Chauve,Pinot Noir,France / Bourgogne
6c333278-4dbc-456c-b102-a083d9fd9963,Olivier Leflaive Bourgogne Blanc Les Sétilles 2022,Olivier Leflaive Bourgogne 'Les Sétilles',0.67,0.67,4,20479,https://www.vivino.com/en/olivier-leflaive-bourgogne-les-setilles/w/11009,Olivier Leflaive,Chardonnay,France / Bourgogne
6c367e25-f7ac-4666-97c7-047b4bd669cb,Bohigas Reserva Cava Brut,N.V. Bohigas Reserva Cava Brut,1.00,1.00,3.8,5524,https://www.vivino.com/en/bohigas-reserva-cava-brut/w/1229249,Bohigas,100% Xarel-lo,Spain / Cava
6c40cbc1-438c-4ab7-a8c9-0e127c5ab880,Las Paradisas Reserva Malbec,Bodega Finca Las Moras Las Moras Reserva Malbec,0.75,0.75,3.6,11403,https://www.vivino.com/en/bodega-finca-las-moras-las-moras-reserva-malbec/w/1132798,Bodega Finca Las Moras,Malbec,Argentina / San Juan
6c6c87c3-8ac1-4048-aeb4-546bb8011988,Donnhoff Niederhäuser Hermannshöhle Riesling Spätlese,Dönnhoff Niederhäuser Hermannshöhle Riesling Spätlese,1.00,1.00,4.2,1567,https://www.vivino.com/en/donnhoff-niederhauser-hermannshohle-riesling-spatlese/w/1152843,Dönnhoff,Riesling,Germany / Nahe
6c71c714-77fa-42ea-a264-76a24e3ccff5,Zonin Chianti,Zonin Chianti,1.00,1.00,3.5,9865,https://www.vivino.com/en/zonin-chianti/w/1137404,Zonin,Sangiovese,Italy / Central Italy / Toscana / Chianti
6c7dd3e7-f3f4-4b83-8462-a0530e419151,Clos du Val Sauvignon Blanc,Clos du Val Sauvignon Blanc,1.00,1.00,3.9,587,https://www.vivino.com/en/clos-du-val-sauvignon-blanc/w/2003434,Clos du Val,Sauvignon Blanc,United States / California / North Coast / Napa County / Napa Valley
6c9a4b26-3f54-420f-a160-b1688c6840f7,Grgich Hills Estate Napa Valley Rosé,Grgich Hills Premiere Napa Valley Paradise Block Old Vine Cabernet Sauvignon,0.80,0.80,4.3,5359,https://www.vivino.com/en/grgich-hills-premiere-napa-valley-paradise-block-old-vine-cabernet-sauvignon/w/8332127,Grgich Hills,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley / Yountville
6caa4673-444c-4156-9e41-e5926ab50953,Yalumba Barossa Shiraz,Yalumba Barossa Shiraz,1.00,1.00,3.8,2195,https://www.vivino.com/en/yalumba-barossa-shiraz/w/4295624,Yalumba,Shiraz/Syrah,Australia / South Australia / Barossa
6cd5d84c-a501-4bf1-8a2b-2d3b23b4db96,Crimson Monster McLaren Vale Shiraz,Crimson Monster Shiraz,0.60,0.60,4,168,https://www.vivino.com/en/crimson-monster-shiraz/w/11945884,Crimson Monster,Shiraz/Syrah,Australia / South Australia / Fleurieu / McLaren Vale
6cd8b119-a901-4c29-a85a-8a4d5fc2129a,Schreider Double Diamond Cabernet Sauvignon,Schrader Double Diamond Oakville Cabernet Sauvignon,0.80,0.80,4.4,7329,https://www.vivino.com/en/schrader-cellars-double-diamond-oakville-cabernet-sauvignon/w/6500931,Schrader,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley / Oakville
6d0aa930-dd45-4abb-928f-eedb65594aef,Barossa Ink Cabernet Sauvignon,Grant Burge Wines Barossa Ink Cabernet Sauvignon,1.00,1.00,4,4506,https://www.vivino.com/en/grant-burge-wines-barossa-ink-cabernet-sauvignon-barossa/w/5727069,Grant Burge Wines,Cabernet Sauvignon,Australia / South Australia / Barossa
